size_sqmeters,decorated,no_rooms,price,type_of_building,market,district,floor_no,line_distance,price_per_sqmet
79,Tak,4,585 000,BLOK,wtórny,Wesoła,4,16.136118348,7405.0632911
70,Tak,3,599 000,BLOK,wtórny,Bemowo,1,7.2344585588,8557.1428571
116,Tak,5,649 000,APARTAMENTOWIEC,wtórny,Białołęka,2,10.785620443,5594.8275862
50,Nie,2,430 000,BLOK,wtórny,Białołęka,8,10.395828241,8600
75,Nie,4,420 000,OTHER,pierwotny,Wawer,0,12.561072918,5600
44,Tak,2,390 000,OTHER,wtórny,Wawer,1,8.9196188855,8863.6363636
53,Nie,2,347 480,BLOK,pierwotny,Białołęka,1,13.13349288,6556.2264151
132,Unknown,5,1 495 000,APARTAMENTOWIEC,wtórny,Ochota,3,4.710196565,11325.757576
85,Tak,4,595 000,BLOK,wtórny,Ursynów,4,8.1397244042,7000
48,Tak,3,400 000,BLOK,wtórny,Ursus,0,10.130585393,8333.3333333
54,Tak,3,595 000,BLOK,wtórny,Ochota,0,2.4767395953,11018.518519
43,Nie,2,252 000,BLOK,pierwotny,Białołęka,0,10.756136141,5860.4651163
38,Nie,2,281 686,BLOK,pierwotny,Białołęka,0,13.048111591,7412.7894737
105,Nie,5,399 000,OTHER,pierwotny,Wawer,1,14.327927512,3800
40,Nie,2,249 000,BLOK,pierwotny,Białołęka,0,12.731021518,6225
54,Nie,3,374 000,OTHER,pierwotny,Wawer,,11.007181789,6925.9259259
28,Nie,1,224 000,BLOK,pierwotny,Białołęka,1,12.970970757,8000
89,Tak,4,1 245 000,APARTAMENTOWIEC,wtórny,Mokotów,3,6.5647241651,13988.764045
200,Tak,5,2 495 000,APARTAMENTOWIEC,wtórny,Żoliborz,6,3.5180103391,12475
47,Nie,2,469 000,APARTAMENTOWIEC,pierwotny,Wola,6,3.3758402738,9978.7234043
36,Nie,2,419 000,APARTAMENTOWIEC,pierwotny,Mokotów,7,6.23188813,11638.888889
61,Tak,3,535 000,BLOK,wtórny,Bemowo,6,6.7680503263,8770.4918033
148,Tak,3,1 480 000,OTHER,wtórny,Mokotów,3,6.0582263563,10000
57,Unknown,3,499 000,KAMIENICA,wtórny,Bielany,1,10.032432606,8754.3859649
38,Tak,2,400 000,BLOK,wtórny,Praga_Południe,1,6.0026907161,10526.315789
53,Tak,2,485 000,BLOK,wtórny,Praga_Południe,3,4.1931385032,9150.9433962
52,Tak,2,918 750,APARTAMENTOWIEC,wtórny,Wola,9,1.148887761,17668.269231
99,Tak,2,4 490 000,APARTAMENTOWIEC,pierwotny,Śródmieście,11,1.0203187983,45353.535354
133,Tak,3,5 290 000,APARTAMENTOWIEC,pierwotny,Śródmieście,11,1.0203187983,39774.43609
116,Tak,4,1 420 000,APARTAMENTOWIEC,wtórny,Bemowo,4,5.4304708867,12241.37931
73,Tak,3,664 721,BLOK,pierwotny,Mokotów,1,7.4920374596,9105.7671233
49,Tak,2,465 864,BLOK,pierwotny,Mokotów,0,7.4887930245,9507.4285714
73,Nie,3,590 461,BLOK,pierwotny,Mokotów,3,7.4902488264,8088.5068493
41,Unknown,2,433 000,BLOK,pierwotny,Wola,4,3.2090392067,10560.97561
144,Unknown,5,758 480,OTHER,pierwotny,Białołęka,,8.8649408535,5267.2222222
150,Unknown,5,892 750,OTHER,pierwotny,Białołęka,,8.8649408535,5951.6666667
145,Tak,4,1 499 999,APARTAMENTOWIEC,wtórny,Ursynów,4,11.342552093,10344.82069
24,Unknown,1,329 000,OTHER,pierwotny,Wola,,3.2090392067,13708.333333
114,Tak,4,1 790 000,APARTAMENTOWIEC,wtórny,Śródmieście,8,0.9470906163,15701.754386
70,Tak,3,559 000,BLOK,wtórny,Białołęka,3,10.756136141,7985.7142857
95,Tak,3,1 455 000,KAMIENICA,wtórny,Śródmieście,4,1.822769912,15315.789474
59,Tak,2,699 000,APARTAMENTOWIEC,wtórny,Praga_Południe,6,4.8954286439,11847.457627
131,Unknown,5,750 000,APARTAMENTOWIEC,pierwotny,Wawer,1,8.6863910676,5725.1908397
111,Tak,4,999 000,OTHER,wtórny,Ochota,7,3.5416362203,9000
56,Unknown,2,600 000,OTHER,wtórny,Ochota,,3.5416362203,10714.285714
45,Nie,2,314 155,BLOK,pierwotny,Białołęka,3,13.08105342,6981.2222222
59,Nie,3,409 239,BLOK,pierwotny,Białołęka,1,13.085124448,6936.2542373
18,Tak,1,205 447,APARTAMENTOWIEC,pierwotny,Wola,4,3.2090392067,11413.722222
108,Nie,5,859 000,APARTAMENTOWIEC,wtórny,Wola,2,4.0090459506,7953.7037037
70,Tak,3,750 000,BLOK,wtórny,Ochota,5,3.5416362203,10714.285714
112,Tak,4,960 000,BLOK,wtórny,Ochota,2,3.5416362203,8571.4285714
61,Nie,2,854 000,OTHER,pierwotny,Mokotów,1,6.0865752958,14000
19,Nie,1,204 000,APARTAMENTOWIEC,pierwotny,Wola,9,3.2090392067,10736.842105
45,Tak,2,650 000,KAMIENICA,wtórny,Śródmieście,2,1.9027150618,14444.444444
33,Nie,1,259 000,BLOK,pierwotny,Białołęka,1,10.756136141,7848.4848485
52,Nie,3,386 000,BLOK,pierwotny,Białołęka,1,10.756136141,7423.0769231
50,Unknown,2,599 000,APARTAMENTOWIEC,wtórny,Wola,2,3.0785999035,11980
33,Nie,1,259 000,BLOK,pierwotny,Białołęka,0,10.756136141,7848.4848485
44,Nie,2,326 000,BLOK,pierwotny,Białołęka,2,10.756136141,7409.0909091
73,Tak,4,1 120 000,APARTAMENTOWIEC,wtórny,Żoliborz,4,3.8321105134,15342.465753
36,Unknown,1,362 000,APARTAMENTOWIEC,pierwotny,Wola,,3.3672518348,10055.555556
36,Unknown,2,398 000,BLOK,pierwotny,Wola,11,3.3496417001,11055.555556
250,Unknown,7,4 500 000,KAMIENICA,wtórny,Śródmieście,0,1.666721261,18000
36,Nie,2,418 945,APARTAMENTOWIEC,pierwotny,Wola,9,3.1470646583,11637.361111
34,Tak,1,163 000,BLOK,wtórny,Żoliborz,4,4.7056707702,4794.1176471
39,Unknown,2,417 000,BLOK,wtórny,Śródmieście,7,0.4578967664,10692.307692
128,Tak,3,950 000,OTHER,wtórny,Praga_Południe,,5.5711442718,7421.875
40,Nie,2,360 000,BLOK,wtórny,Ursynów,1,9.0904527867,9000
75,Tak,4,560 000,APARTAMENTOWIEC,wtórny,Białołęka,0,10.756136141,7466.6666667
62,Nie,3,503 802,BLOK,pierwotny,Włochy,1,8.2050796866,8125.8419355
58,Nie,2,459 696,BLOK,pierwotny,Włochy,3,8.2050796866,7925.7931034
105,Nie,6,720 428,BLOK,pierwotny,Włochy,4,8.2050796866,6861.2228571
62,Nie,3,520 742,BLOK,pierwotny,Włochy,0,8.2050796866,8399.0645161
62,Nie,3,503 802,BLOK,pierwotny,Włochy,1,8.2050796866,8125.8419355
58,Nie,2,464 381,BLOK,pierwotny,Włochy,3,8.2050796866,8006.5655172
105,Nie,6,720 428,BLOK,pierwotny,Włochy,4,8.2050796866,6861.2228571
102,Nie,4,599 900,APARTAMENTOWIEC,pierwotny,Wawer,1,10.261134065,5881.372549
86,Tak,3,773 900,APARTAMENTOWIEC,wtórny,Ursus,7,8.676864489,8998.8372093
29,Nie,1,387 000,APARTAMENTOWIEC,pierwotny,Praga_Północ,5,2.860500104,13344.827586
18,Unknown,1,199 000,APARTAMENTOWIEC,pierwotny,Wola,,3.3460295913,11055.555556
34,Nie,1,231 150,APARTAMENTOWIEC,wtórny,Białołęka,0,12.542655085,6798.5294118
80,Tak,4,1 090 000,APARTAMENTOWIEC,wtórny,Mokotów,6,6.171074143,13625
75,Unknown,3,860 000,APARTAMENTOWIEC,wtórny,Mokotów,1,7.1718791103,11466.666667
72,Nie,3,799 000,OTHER,wtórny,Śródmieście,1,1.2519715116,11097.222222
85,Tak,3,1 529 000,APARTAMENTOWIEC,wtórny,Mokotów,1,3.4068605595,17988.235294
66,Tak,3,599 000,APARTAMENTOWIEC,wtórny,Praga_Południe,1,4.5616841553,9075.7575758
78,Nie,3,550 400,OTHER,pierwotny,Wawer,1,9.2857582487,7056.4102564
59,Nie,3,470 000,BLOK,wtórny,Ursynów,1,9.6063818769,7966.1016949
90,Nie,4,585 845,OTHER,pierwotny,Wawer,1,9.2857582487,6509.3888889
27,Unknown,1,189 700,BLOK,pierwotny,Białołęka,1,10.214630019,7025.9259259
59,Tak,3,590 000,BLOK,pierwotny,Wola,5,3.1470646583,10000
57,Tak,2,569 000,BLOK,wtórny,Targówek,0,5.3483196721,9982.4561404
